224 OGLE-2006-BLG-109L_c 0.271 0.51 4.8168 0.27
225 Qatar-2_b 2.48409 0.74 0.0215077 0
226 HD_216437_b 2.16817 1.117 2.48556 0.319
227 HAT-P-7_b 1.7916 1.5 0.037964 0
228 HD_49674_b 0.101571 1.015 0.0571073 0.087
229 HD_82943_b 1.73352 1.133 1.183 0.219
230 WASP-38_b 2.70901 1.23 0.0758454 0.028
231 HD_77338_b 0.0498139 0.93 0.0612143 0.09
232 HD_220773_b 1.44975 1.16 4.94302 0.51
233 WASP-6_b 0.52136 0.93 0.0428704 0.054
234 HD_159868_c 0.73 1.087 1.00396 0.15
235 HD_137388_b 0.227816 0.86 0.88883 0.36
236 HD_100777_b 1.16502 1 1.03378 0.36
237 HAT-P-5_b 1.05561 1.157 0.0407152 0
238 HD_222582_b 7.63003 0.965 1.33658 0.725
239 Kepler-16_b 0.333 0.6897 0.646795 0.0069
240 HD_128311_b 1.4572 0.828 1.08649 0.345
241 HD_181433_d 0.535482 0.78 3.02208 0.48
242 TrES-1_b 0.752484 0.878 0.0392516 0
243 HD_4208_b 0.807457 0.879 1.65355 0.052
244 HD_5388_b 1.96509 1.21 1.76349 0.4
245 CoRoT-10_b 2.75536 0.89 0.105463 0.53
246 11_UMi_b 11.0873 1.8 1.53498 0.08
247 WASP-62_b 0.56227 1.25 0.0567187 0
248 HD_4732_c 2.36493 1.74 4.60219 0.23
249 kappa_CrB_b 2.18571 1.84 2.85763 0.125
250 HD_99492_b 0.106179 0.832 0.121908 0.254
251 HD_204941_b 0.26689 0.74 2.55427 0.37
252 HD_196050_b 2.8434 1.109 2.51056 0.228
253 WASP-11_b 0.539755 0.8 0.0436466 0
254 HD_111232_b 6.84182 0.78 1.97489 0.2
255 HD_117618_b 0.176652 1.069 0.174852 0.42
256 HD_180902_b 1.55713 1.52 1.37801 0.09
257 HIP_12961_b 0.354314 0.67 0.25497 0.166
258 HD_63454_b 0.384566 0.8 0.0362523 0
259 BD_+48_738_b 0.922011 0.74 0.949488 0.2
260 NGC_2423_3_b 10.6368 2.4 2.09673 0.21
261 HD_50499_b 1.74473 1.28 3.87172 0.253675
262 CoRoT-14_b 7.69464 1.13 0.0269122 0
263 CoRoT-4_b 0.717419 1.16 0.0903166 0
264 HAT-P-19_b 0.292273 0.842 0.0466409 0.067
265 HD_2039_b 5.92499 1.123 2.19755 0.715
266 Kepler-36_c 0.025489 1.071 0.128401 0
267 XO-2_b 0.56654 0.974 0.0368367 0
268 Kepler-11_d 0.0191949 0.95 0.154183 0
269 HD_187085_b 0.803694 1.143 2.02754 0.47
270 HD_118203_b 2.13623 1.23 0.0702997 0.309
271 WASP-63_b 0.378096 1.32 0.0574592 0
272 Kepler-30_b 0.035557 0.99 0.185524 0.042
273 HD_175167_b 7.77836 1.102 2.40085 0.54
274 HAT-P-16_b 4.2025 1.218 0.0413275 0.036
